iter	Passed	Remaining
0	1	197
1	3	177
2	4	161
3	5	143
4	7	144
5	9	148
6	11	152
7	14	166
8	16	166
9	17	159
10	18	151
11	19	145
12	20	140
13	22	136
14	23	133
15	24	130
16	25	126
17	27	123
18	29	123
19	30	122
20	31	119
21	32	116
22	34	114
23	35	112
24	36	110
25	38	109
26	40	108
27	41	106
28	43	105
29	44	104
30	46	102
31	47	100
32	49	99
33	50	97
34	51	95
35	52	93
36	53	91
37	54	89
38	56	88
39	58	87
40	59	86
41	60	83
42	61	81
43	63	80
44	65	79
45	66	78
46	68	76
47	69	75
48	73	76
49	74	74
50	75	72
51	76	71
52	78	69
53	79	67
54	80	65
55	81	64
56	82	62
57	83	60
58	84	58
59	87	58
60	88	56
61	89	55
62	90	53
63	92	51
64	93	50
65	94	48
66	95	46
67	96	45
68	97	43
69	97	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	103	32
76	104	31
77	106	29
78	107	28
79	108	27
80	108	25
81	109	24
82	110	22
83	111	21
84	112	19
85	113	18
86	114	17
87	115	15
88	116	14
89	117	13
90	119	11
91	120	10
92	122	9
93	124	7
94	125	6
95	126	5
96	128	3
97	131	2
98	133	1
99	135	0
