iter	Passed	Remaining
0	139	139550
1	141	70465
2	142	47341
3	143	35720
4	144	28751
5	145	24084
6	146	20830
7	147	18340
8	148	16380
9	149	14815
10	150	13540
11	152	12552
12	153	11658
13	154	10884
14	157	10323
15	158	9752
16	159	9230
17	162	8859
18	165	8564
19	167	8201
20	168	7859
21	169	7540
22	171	7283
23	174	7088
24	177	6905
25	178	6699
26	180	6512
27	182	6336
28	183	6142
29	184	5960
30	185	5793
31	186	5635
32	187	5488
33	188	5350
34	189	5218
35	193	5194
36	195	5086
37	196	4981
38	197	4874
39	198	4769
40	199	4672
41	200	4579
42	202	4502
43	203	4417
44	206	4372
45	207	4296
46	209	4241
47	210	4180
48	211	4113
49	213	4054
50	214	3996
51	215	3936
52	218	3904
53	220	3859
54	221	3812
55	223	3763
56	224	3712
57	225	3660
58	226	3608
59	227	3557
60	227	3509
61	229	3478
62	230	3434
63	232	3396
64	233	3361
65	235	3327
66	236	3290
67	237	3252
68	238	3215
69	239	3176
70	240	3144
71	241	3108
72	242	3083
73	245	3077
74	247	3048
75	248	3024
76	250	3001
77	252	2980
78	253	2955
79	254	2930
80	255	2903
81	259	2909
82	261	2885
83	262	2862
84	263	2838
85	264	2814
86	266	2796
87	267	2771
88	268	2746
89	269	2722
90	270	2699
91	273	2698
92	275	2685
93	276	2668
94	278	2649
95	279	2629
96	280	2613
97	281	2591
98	282	2570
99	283	2551
100	284	2533
101	286	2523
102	290	2526
103	291	2509
104	292	2494
105	293	2477
106	295	2464
107	296	2447
108	297	2430
109	298	2413
110	299	2396
111	301	2387
112	302	2374
113	303	2361
114	305	2348
115	306	2337
116	307	2321
117	308	2308
118	309	2294
119	310	2279
120	311	2265
121	313	2255
122	317	2263
123	318	2252
124	321	2249
125	323	2240
126	324	2227
127	325	2214
128	326	2202
129	327	2192
130	328	2181
131	331	2180
132	332	2169
133	334	2159
134	335	2150
135	336	2140
136	337	2128
137	338	2116
138	339	2105
139	341	2095
140	342	2085
141	342	2072
142	345	2072
143	347	2066
144	349	2059
145	351	2053
146	352	2042
147	353	2032
148	354	2021
149	355	2012
150	357	2009
151	359	2005
152	361	1999
153	362	1993
154	364	1986
155	365	1979
156	366	1969
157	367	1960
158	368	1950
159	370	1943
160	370	1932
161	372	1924
162	373	1918
163	375	1914
164	378	1913
165	379	1906
166	380	1899
167	381	1891
168	383	1884
169	384	1877
170	385	1869
171	386	1861
172	401	1918
173	402	1911
174	404	1905
175	405	1900
176	407	1895
177	409	1891
178	411	1885
179	412	1880
180	414	1873
181	415	1866
182	416	1857
183	417	1850
184	418	1843
185	420	1839
186	422	1836
187	423	1829
188	425	1824
189	426	1817
190	427	1809
191	428	1802
192	429	1795
193	430	1788
194	431	1780
195	432	1774
196	434	1770
197	436	1766
198	437	1760
199	439	1756
200	440	1749
201	441	1743
202	442	1736
203	443	1729
204	444	1723
205	445	1717
206	447	1713
207	448	1708
208	449	1701
209	451	1698
210	453	1695
211	455	1691
212	456	1686
213	457	1681
214	459	1676
215	460	1672
216	465	1681
217	467	1677
218	469	1673
219	470	1668
220	471	1662
221	473	1657
222	474	1652
223	475	1646
224	478	1648
225	479	1643
226	482	1641
227	483	1637
228	485	1632
229	485	1626
230	487	1621
231	488	1615
232	489	1611
233	491	1607
234	492	1604
235	494	1600
236	495	1595
237	496	1591
238	498	1585
239	499	1581
240	500	1576
241	501	1570
242	502	1564
243	503	1560
244	504	1554
245	507	1555
246	518	1579
247	519	1575
248	523	1579
249	525	1575
250	526	1571
251	528	1567
252	529	1562
253	530	1556
254	531	1551
255	532	1546
256	533	1541
257	535	1538
258	539	1543
259	541	1541
260	543	1539
261	545	1535
262	546	1530
263	546	1524
264	547	1519
265	549	1515
266	550	1511
267	552	1510
268	555	1509
269	556	1505
270	558	1501
271	559	1496
272	560	1491
273	560	1486
274	562	1482
275	563	1478
276	564	1474
277	566	1470
278	567	1467
279	569	1463
280	570	1460
281	572	1456
282	573	1452
283	574	1448
284	575	1444
285	576	1439
286	577	1435
287	578	1430
288	579	1426
289	581	1423
290	583	1420
291	584	1416
292	585	1413
293	587	1409
294	588	1406
295	589	1402
296	590	1398
297	591	1394
298	592	1389
299	593	1385
300	596	1384
301	598	1382
302	599	1378
303	600	1375
304	602	1372
305	603	1368
306	605	1366
307	606	1362
308	607	1358
309	609	1357
310	611	1353
311	612	1351
312	614	1348
313	617	1348
314	619	1346
315	620	1342
316	621	1340
317	624	1339
318	626	1336
319	627	1333
320	630	1333
321	631	1330
322	633	1327
323	634	1324
324	635	1320
325	637	1317
326	639	1316
327	642	1315
328	667	1360
329	681	1383
330	683	1380
331	684	1376
332	685	1373
333	695	1386
334	696	1382
335	698	1379
336	699	1375
337	707	1386
338	714	1393
339	715	1389
340	727	1406
341	728	1402
342	730	1399
343	732	1397
344	734	1393
345	736	1392
346	738	1389
347	739	1385
348	740	1381
349	741	1377
350	742	1373
351	744	1369
352	745	1365
353	747	1363
354	748	1360
355	750	1358
356	752	1355
357	753	1351
358	754	1347
359	755	1343
360	757	1340
361	758	1336
362	759	1333
363	762	1331
364	763	1328
365	765	1325
366	766	1322
367	768	1319
368	769	1316
369	770	1312
370	772	1308
371	773	1304
372	774	1301
373	775	1297
374	777	1295
375	778	1292
376	780	1289
377	781	1286
378	783	1283
379	784	1280
380	786	1277
381	787	1274
382	789	1271
383	790	1267
384	791	1264
385	793	1262
386	794	1258
387	796	1256
388	797	1252
389	798	1248
390	799	1245
391	800	1241
392	801	1238
393	802	1234
394	805	1233
395	807	1230
396	809	1229
397	810	1226
398	812	1223
399	813	1219
400	814	1216
401	815	1212
402	816	1209
403	817	1206
404	819	1204
405	823	1205
406	825	1202
407	826	1199
408	827	1195
409	828	1192
410	829	1188
411	830	1185
412	831	1182
413	832	1178
414	834	1176
415	836	1173
416	838	1172
417	840	1170
418	841	1167
419	842	1163
420	843	1160
421	844	1157
422	845	1153
423	847	1151
424	849	1149
425	851	1147
426	853	1144
427	854	1141
428	855	1138
429	856	1135
430	857	1132
431	858	1129
432	859	1125
433	860	1122
434	861	1119
435	865	1119
436	867	1117
